datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-21 14:30:00,2021-01-20,bearish_choch,bearish,1.21405,1.21384,2.1,0.1871,12,New_York,14,6.015999999999799,11.22,2.8,31.7,False,False,False
2021-01-21 20:00:00,2021-01-20,bullish_choch,bullish,1.21612,1.21634,2.2,0.3974,16,Off_Hours,20,4.843999999999404,5.54,14.3,7.0,True,True,True
2021-01-22 00:00:00,2021-01-21,bullish_bos,bullish,1.21702,1.21755,5.3,1.2749,6,Tokyo,0,5.429999999999602,4.16,2.2,14.2,False,False,False
2021-01-22 06:00:00,2021-01-21,bearish_choch,bearish,1.21711,1.2165,6.1,2.0728,30,Tokyo,6,4.653999999999492,2.94,13.5,24.4,True,True,False
2021-01-22 07:00:00,2021-01-21,bearish_bos,bearish,1.21628,1.21597,3.1,0.9195,1,Tokyo,7,4.507999999998624,3.37,8.2,29.7,True,True,False
2021-01-22 08:30:00,2021-01-21,bullish_choch,bullish,1.21759,1.21763,0.4,0.0641,7,London,8,1.1239999999990147,6.24,13.1,22.2,True,True,False
2021-01-22 11:15:00,2021-01-21,bullish_bos,bullish,1.21776,1.21805,2.9,0.2812,4,London,11,1.43200000000121,10.31,7.0,26.4,False,False,False
2021-01-22 12:30:00,2021-01-21,bearish_choch,bearish,1.21664,1.21595,6.9,0.7661,9,London,12,1.1099999999997223,9.01,5.4,25.2,False,False,False
2021-01-22 14:45:00,2021-01-21,bullish_choch,bullish,1.21708,1.2174,3.2,0.3642,2,New_York,14,-1.64800000000076,8.79,10.7,12.1,True,False,False
2021-01-22 19:15:00,2021-01-21,bullish_bos,bullish,1.21707,1.21728,2.1,0.3936,12,Off_Hours,19,-0.0880000000025305,5.34,0.5,11.0,False,False,False
2021-01-24 22:00:00,2021-01-24,bearish_choch,bearish,1.2166,1.21633,2.7,0.72,23,Off_Hours,22,0.4579999999987372,3.75,3.2,14.4,False,False,False
2021-01-25 00:30:00,2021-01-24,bullish_choch,bullish,1.21717,1.21725,0.8,0.1739,8,Tokyo,0,-1.3899999999988921,4.6,10.7,12.4,True,True,False
2021-01-25 01:15:00,2021-01-24,bearish_choch,bearish,1.21641,1.21637,0.4,0.075,0,Tokyo,1,-0.7639999999997649,5.34,3.6,19.5,False,False,False
2021-01-25 02:30:00,2021-01-24,bullish_bos,bullish,1.21733,1.21739,0.6,0.1172,5,Tokyo,2,0.5640000000006751,5.12,9.3,5.5,True,False,True
2021-01-25 04:15:00,2021-01-24,bullish_bos,bullish,1.21777,1.21786,0.9,0.1924,12,Tokyo,4,0.87200000000065,4.68,4.6,38.6,False,False,False
2021-01-25 05:45:00,2021-01-24,bullish_bos,bullish,1.21802,1.21806,0.4,0.1009,18,Tokyo,5,0.3500000000000725,3.96,2.6,40.6,False,False,False
2021-01-25 07:00:00,2021-01-24,bearish_choch,bearish,1.21748,1.21735,1.3,0.3143,23,Tokyo,7,1.3880000000021653,4.14,33.5,9.2,True,True,True
2021-01-25 09:00:00,2021-01-24,bearish_bos,bearish,1.21716,1.21624,9.2,1.4423,3,London,9,1.0460000000001024,6.38,46.6,0.1,True,True,True
2021-01-25 13:30:00,2021-01-24,bearish_bos,bearish,1.21498,1.21457,4.1,0.6598,21,New_York,13,-2.8319999999992795,6.21,29.9,6.7,True,True,True
2021-01-25 14:30:00,2021-01-24,bearish_bos,bearish,1.21434,1.21405,2.9,0.4481,25,New_York,14,-3.610000000000557,6.47,24.7,7.2,True,True,True
2021-01-25 20:45:00,2021-01-24,bullish_choch,bullish,1.21404,1.21413,0.9,0.2418,50,Off_Hours,20,-7.641999999996596,3.72,4.8,8.2,True,False,False
2021-01-25 21:30:00,2021-01-24,bullish_choch,bullish,1.21415,1.21416,0.1,0.0312,53,Off_Hours,21,-7.132000000000804,3.2,4.5,8.5,True,False,False
2021-01-25 22:45:00,2021-01-25,bullish_choch,bullish,1.21415,1.21425,1.0,0.2414,58,Off_Hours,22,-3.9979999999983917,4.14,3.6,15.1,False,False,False
2021-01-26 00:15:00,2021-01-25,bearish_choch,bearish,1.21376,1.21374,0.2,0.0486,4,Tokyo,0,-2.27200000000094,4.11,12.5,8.7,True,True,True
2021-01-26 01:45:00,2021-01-25,bullish_choch,bullish,1.21442,1.21454,1.2,0.2932,2,Tokyo,1,-3.2359999999997946,4.09,0.7,37.8,False,False,False
2021-01-26 04:30:00,2021-01-25,bearish_bos,bearish,1.21331,1.21293,3.8,0.9726,13,Tokyo,4,1.621999999998902,3.91,21.7,12.1,True,True,True
2021-01-26 07:30:00,2021-01-25,bearish_bos,bearish,1.21232,1.21117,11.5,2.2025,25,Tokyo,7,-3.1239999999987944,5.22,4.1,49.0,False,False,False
2021-01-26 08:45:00,2021-01-25,bullish_choch,bullish,1.21311,1.21382,7.1,0.9449,30,London,8,-3.0240000000003597,7.51,26.0,17.4,True,True,True
2021-01-26 11:15:00,2021-01-25,bullish_choch,bullish,1.21349,1.21407,5.8,0.657,40,London,11,-1.9300000000010975,8.83,35.1,5.2,True,True,True
